id,name,is_land,is_sea,good,dist_to_iron,dist_to_coal,paired_score,status,owner_tag,start_pop,total_life_rating
31,Stanley,True,False,timber,1,2,2,PASS,,,15
32,Prince Albert,True,False,timber,1,1,1,PASS,,,15
33,Asquith,True,False,timber,1,1,1,PASS,HHR,,30
34,Saskatoon,True,False,coal,2,0,2,PASS,HHR,,30
35,Maple Creek,True,False,grain,1,2,2,PASS,,,30
36,Winnipeg,True,False,grain,2,1,2,PASS,,,30
37,Churchill,True,False,fish,1,2,2,PASS,VIN,,10
38,Indian Lakes,True,False,iron,0,2,2,PASS,,,15
39,Norway House,True,False,timber,1,2,2,PASS,,,15
40,Dauphin,True,False,timber,2,1,2,PASS,,,30
41,Brandon,True,False,grain,3,1,3,PASS,,,30
42,Pembina,True,False,fish,3,1,3,PASS,,,30
43,Arviat,True,False,fish,1,3,3,PASS,VIN,,35
44,Echo Bay,True,False,fish,-1,-1,-1,ISLAND,SPA,,30
45,Baffin Island,True,False,fish,5,2,5,PASS,VIN,,30
46,Toronto,True,False,grain,1,3,3,PASS,VIN,,35
47,Fort Severn,True,False,fish,2,2,2,PASS,VIN,,10
48,Fort Albany,True,False,fish,2,2,2,PASS,VIN,,20
49,Dryden,True,False,coal,3,0,3,PASS,VIN,,25
50,Thunder Bay,True,False,cattle,2,1,2,PASS,VIN,,30
51,Sault Ste Marie,True,False,cattle,1,2,2,PASS,VIN,,30
52,Sudbury,True,False,iron,0,3,3,PASS,VIN,,30
53,Barrie,True,False,fruit,1,3,3,PASS,VIN,,30
54,Windsor,True,False,grain,2,3,3,PASS,VIN,,35
55,Hamilton,True,False,fish,2,2,2,PASS,VIN,,35
56,Kingston,True,False,fruit,1,4,4,PASS,VIN,,35
57,Ottawa,True,False,grain,1,4,4,PASS,VIN,,31
58,Montreal,True,False,cattle,1,4,4,PASS,VIN,,35
59,Nitchequon,True,False,timber,2,1,2,PASS,VIN,,20
60,Charles Fort,True,False,timber,2,2,2,PASS,VIN,,35
61,Chicoutimi,True,False,grain,2,2,2,PASS,VIN,,30
62,Sept-Iles,True,False,fish,1,2,2,PASS,VIN,,30
63,Temiscaming,True,False,cattle,1,3,3,PASS,VIN,,30
64,Trois Rivieres,True,False,iron,0,4,4,PASS,VIN,,35
65,Quebec City,True,False,grain,1,3,3,PASS,VIN,,35
66,Sherbrooke,True,False,grain,1,4,4,PASS,VIN,,30
67,Rimouski,True,False,grain,2,4,4,PASS,VIN,,30
68,Fredericton,True,False,timber,4,2,4,PASS,VIN,,30
69,Bathurst,True,False,cattle,3,3,3,PASS,VIN,,30
70,Prince Edward Island,True,False,fish,5,3,5,PASS,VIN,,30
71,Halifax,True,False,fish,6,2,6,WARN,VIN,,30
72,Truro,True,False,timber,5,1,5,PASS,VIN,,30
73,Cape Breton Island,True,False,coal,6,0,6,WARN,VIN,,30
74,Saint Johns,True,False,fish,1,4,4,PASS,VIN,,25
75,Millertown,True,False,iron,0,3,3,PASS,VIN,,25
76,Hopedale,True,False,fish,2,1,2,PASS,VIN,,10
77,St Pierre & Miquelon,True,False,fish,2,5,5,PASS,VIN,,30
78,Seattle,True,False,timber,2,1,2,PASS,DNG,,35
79,Spokane,True,False,timber,1,2,2,PASS,DNG,,35
80,Walla Walla,True,False,timber,2,2,2,PASS,DNG,,35
81,Portland,True,False,fish,2,2,2,PASS,DNG,,20
82,Baker City,True,False,timber,2,3,3,PASS,DNG,,20
83,Klamath Falls,True,False,timber,1,3,3,PASS,DNG,,20
84,San Francisco,True,False,cattle,2,3,3,PASS,DNG,,35
85,Eureka,True,False,fish,2,3,3,PASS,DNG,,35
86,Sacramento,True,False,fruit,1,3,3,PASS,DNG,,35
87,Monterey,True,False,fruit,2,3,3,PASS,DNG,,35
88,Mariposa,True,False,fruit,1,2,2,PASS,DNG,,30
89,Los Angeles,True,False,grain,2,3,3,PASS,DNG,,35
90,San Diego,True,False,grain,1,2,2,PASS,CLM,,35
91,Boise,True,False,iron,0,2,2,PASS,DNG,,35
92,Coeur D'Alene,True,False,timber,1,2,2,PASS,DNG,,35
93,Pocatello,True,False,iron,0,1,1,PASS,,,35
94,Carson City,True,False,iron,0,2,2,PASS,DNG,,35
95,Elko,True,False,iron,0,1,1,PASS,DNG,,35
96,Las Vegas,True,False,iron,0,1,1,PASS,DNG,,35
97,Salt Lake City,True,False,coal,1,0,1,PASS,,,35
98,Loa,True,False,grain,1,1,1,PASS,,,35
99,Moab,True,False,coal,1,0,1,PASS,,,35
100,Phoenix,True,False,cattle,1,2,2,PASS,CLM,,35
101,Flagstaff,True,False,iron,0,1,1,PASS,CLM,,35
102,Tucson,True,False,cattle,2,2,2,PASS,CLM,,30
103,Santa Fe,True,False,fruit,1,2,2,PASS,,,35
104,Albuquerque,True,False,fruit,1,1,1,PASS,CLM,,35
105,Las Cruces,True,False,cattle,1,2,2,PASS,CLM,,35
106,Denver,True,False,cattle,1,2,2,PASS,,,35
107,Grand Junction,True,False,cattle,1,1,1,PASS,,,35
108,Alamosa,True,False,iron,0,1,1,PASS,,,35
109,Pueblo,True,False,cattle,1,2,2,PASS,,,35
110,Chyenne,True,False,grain,2,1,2,PASS,,,35
111,Cody,True,False,coal,1,0,1,PASS,,,35
112,Casper,True,False,sulphur,2,1,2,PASS,,,35
113,Bozeman,True,False,sulphur,1,1,1,PASS,,,35
114,Missoula,True,False,cattle,1,1,1,PASS,,,35
115,Great Falls,True,False,cattle,1,1,1,PASS,,,35
116,Billings,True,False,cattle,2,1,2,PASS,,,35
117,Bismarck,True,False,coal,3,0,3,PASS,,,35
118,Minot,True,False,coal,2,0,2,PASS,,,35
119,Dickinson,True,False,cattle,3,1,3,PASS,,,35
120,Sioux Falls,True,False,grain,4,1,4,PASS,,,35
121,Dupree,True,False,coal,3,0,3,PASS,,,35
122,Rapid City,True,False,timber,3,1,3,PASS,,,35
123,Omaha,True,False,fruit,3,2,3,PASS,,,35
124,Alliance,True,False,grain,2,2,2,PASS,,,35
125,North Platte,True,False,grain,2,1,2,PASS,,,35
126,Topeka,True,False,grain,3,1,3,PASS,,,35
127,Goodland,True,False,fruit,2,2,2,PASS,,,35
128,Wichita,True,False,grain,2,2,2,PASS,,,35
129,Oklahoma City,True,False,grain,2,2,2,PASS,,,35
130,Tahlequah,True,False,silk,3,1,3,PASS,,,35
131,Okmulgee,True,False,fruit,3,2,3,PASS,,,35
132,Houston,True,False,cattle,3,3,3,PASS,CLM,,35
133,Austin,True,False,cattle,3,2,3,PASS,CLM,,35
134,Dallas,True,False,cattle,3,3,3,PASS,CLM,,35
135,Lubbock,True,False,sulphur,2,2,2,PASS,CLM,,35
136,El Paso,True,False,cotton,2,1,2,PASS,CLM,,35
137,San Antonio,True,False,cattle,3,2,3,PASS,CLM,,35
138,Laredo,True,False,cattle,3,1,3,PASS,CLM,,35
139,New Orleans,True,False,precious_goods,3,4,4,PASS,PLA,,35
140,Baton Rouge,True,False,cotton,2,3,3,PASS,PLA,,35
141,Lake Charles,True,False,sulphur,2,3,3,PASS,PLA,,35
142,Shreveport,True,False,sulphur,2,3,3,PASS,PLA,,35
143,Little Rock,True,False,cotton,2,2,2,PASS,PLA,,35
144,Hot Springs,True,False,grain,3,2,3,PASS,PLA,,35
145,Fayetteville,True,False,timber,3,1,3,PASS,,,35
146,St Louis,True,False,cattle,4,1,4,PASS,,,35
147,Joplin,True,False,coal,4,0,4,PASS,,,35
148,Malden,True,False,grain,3,1,3,PASS,PLA,,35
149,Jefferson City,True,False,coal,4,0,4,PASS,,,35
150,Kansas City,True,False,coal,3,0,3,PASS,,,35
151,Des Moines,True,False,grain,3,1,3,PASS,,,35
152,Oskaloosa,True,False,grain,4,1,4,PASS,,,35
153,Cedar Rapids,True,False,cattle,5,1,5,PASS,,,35
154,Sioux City,True,False,grain,4,1,4,PASS,,,35
155,Minneapolis,True,False,timber,4,1,4,PASS,VIN,,35
156,Granite Falls,True,False,coal,5,0,5,PASS,,,35
157,Moorehead,True,False,timber,3,1,3,PASS,VIN,,35
158,Duluth,True,False,fish,3,1,3,PASS,VIN,,35
159,Milwaukee,True,False,timber,4,1,4,PASS,VIN,,35
160,Eau Claire,True,False,grain,3,1,3,PASS,VIN,,35
161,Green Bay,True,False,timber,3,1,3,PASS,VIN,,35
162,Madison,True,False,coal,4,0,4,PASS,VIN,,35
163,Chicago,True,False,coal,5,0,5,PASS,VIN,,35
164,Rockford,True,False,coal,5,0,5,PASS,VIN,,35
165,Champaign,True,False,coal,4,0,4,PASS,VIN,,35
166,Peoria,True,False,cattle,5,1,5,PASS,PLA,,35
167,Springfield,True,False,cattle,4,1,4,PASS,PLA,,35
168,Carbondale,True,False,cattle,3,1,3,PASS,PLA,,35
169,Indianapolis,True,False,grain,5,1,5,PASS,VIN,,35
170,Evansville,True,False,grain,4,1,4,PASS,PLA,,35
171,South Bend,True,False,timber,5,1,5,PASS,VIN,,35
172,Fort Wayne,True,False,timber,5,2,5,PASS,VIN,,35
173,Detroit,True,False,timber,3,2,3,PASS,VIN,,35
174,Grand Rapids,True,False,timber,4,2,4,PASS,VIN,,35
175,Saginaw,True,False,timber,4,3,4,PASS,VIN,,35
176,Traverse City,True,False,timber,3,3,3,PASS,VIN,,35
177,Marquette,True,False,fish,2,2,2,PASS,VIN,,35
178,Cleveland,True,False,coal,3,0,3,PASS,VIN,,35
179,Columbus,True,False,grain,4,1,4,PASS,VIN,,35
180,Sandusky,True,False,timber,4,1,4,PASS,VIN,,35
181,Dayton,True,False,grain,5,2,5,PASS,VIN,,35
182,Cincinnati,True,False,grain,4,1,4,PASS,VIN,,35
183,Marietta,True,False,cotton,4,1,4,PASS,PLA,,35
184,Louisville,True,False,tobacco,3,1,3,PASS,PLA,,35
185,Lexington,True,False,coal,3,0,3,PASS,PLA,,35
186,Bowling Green,True,False,cattle,2,1,2,PASS,PLA,,35
187,Paducah,True,False,cattle,2,2,2,PASS,PLA,,35
188,Nashville,True,False,grain,1,1,1,PASS,PLA,,35
189,Memphis,True,False,cotton,2,2,2,PASS,PLA,,35
190,Knoxville,True,False,coal,2,0,2,PASS,PLA,,35
191,Chattanooga,True,False,coal,1,0,1,PASS,PLA,,35
192,Jackson,True,False,cotton,1,2,2,PASS,PLA,,35
193,Vicksburg,True,False,cotton,1,2,2,PASS,PLA,,35
194,Biloxi,True,False,timber,2,3,3,PASS,PLA,,35
195,Montgomery,True,False,cotton,1,1,1,PASS,PLA,,35
196,Tuscaloosa,True,False,iron,0,1,1,PASS,PLA,,35
197,Mobile,True,False,cotton,2,2,2,PASS,PLA,,35
198,Tallahassee,True,False,cotton,2,1,2,PASS,PLA,,35
199,St Augustine,True,False,coal,1,0,1,PASS,VEN,,35
200,Tampa,True,False,fruit,2,1,2,PASS,VEN,,35
201,Atlanta,True,False,coal,1,0,1,PASS,PLA,,35
202,Valdosta,True,False,cotton,1,1,1,PASS,PLA,,35
203,Bermuda,True,False,fish,-1,-1,-1,ISLAND,PLA,,35
204,Savannah,True,False,iron,0,1,1,PASS,PLA,,35
205,Charleston,True,False,cotton,1,2,2,PASS,PLA,,35
206,Columbia,True,False,cotton,2,1,2,PASS,PLA,,35
207,Raleigh,True,False,tobacco,3,3,3,PASS,PLA,,35
208,Winston-Salem,True,False,tobacco,3,2,3,PASS,PLA,,35
209,Charlotte,True,False,tobacco,2,2,2,PASS,PLA,,35
210,WIlmington,True,False,cotton,2,3,3,PASS,PLA,,35
211,Richmond,True,False,tobacco,4,2,4,PASS,NBG,,35
212,Manassas,True,False,tobacco,3,1,3,PASS,NBG,,35
213,Fredericksburg,True,False,tobacco,4,2,4,PASS,NBG,,35
214,Norfolk,True,False,tobacco,4,3,4,PASS,NBG,,35
215,Staunton,True,False,grain,4,1,4,PASS,NBG,,35
216,Roanoke,True,False,tobacco,3,1,3,PASS,PLA,,35
217,Wheeling,True,False,coal,3,0,3,PASS,NBG,,35
218,Huntington,True,False,coal,4,0,4,PASS,PLA,,35
219,Baltimore,True,False,tobacco,1,2,2,PASS,NBG,,35
220,Washington,True,False,grain,2,2,2,PASS,NBG,,35
221,Hagerstown,True,False,tobacco,2,1,2,PASS,NBG,,35
222,Dover,True,False,grain,1,3,3,PASS,NBG,,35
223,Philadelphia,True,False,iron,0,2,2,PASS,NBG,,35
224,Scranton,True,False,grain,1,1,1,PASS,NBG,,35
225,Williamsport,True,False,coal,2,0,2,PASS,NBG,,35
226,Harrisburg,True,False,tobacco,1,1,1,PASS,NBG,,35
227,Pittsburgh,True,False,coal,2,0,2,PASS,NBG,,35
228,Erie,True,False,timber,3,1,3,PASS,NBG,,35
229,Newark,True,False,iron,0,2,2,PASS,NBG,,35
230,Trenton,True,False,fish,1,3,3,PASS,NBG,,35
231,Atlantic City,True,False,fish,1,3,3,PASS,NBG,,35
232,New York,True,False,grain,1,2,2,PASS,NBG,,35
233,Long Island,True,False,grain,2,3,3,PASS,NBG,,35
234,Albany,True,False,iron,0,2,2,PASS,NBG,,35
235,Binghamton,True,False,grain,1,1,1,PASS,NBG,,35
236,Buffalo,True,False,timber,2,1,2,PASS,NBG,,35
237,Rochester,True,False,grain,2,2,2,PASS,NBG,,35
238,Syracuse,True,False,grain,1,2,2,PASS,NBG,,35
239,Watertown,True,False,iron,0,3,3,PASS,NBG,,35
240,Plattsburgh,True,False,timber,1,3,3,PASS,NBG,,35
241,Hartford,True,False,fish,1,3,3,PASS,NBG,,35
242,Providence,True,False,grain,1,4,4,PASS,NBG,,35
243,Boston,True,False,grain,1,4,4,PASS,NBG,,35
244,New Bedford,True,False,grain,2,5,5,PASS,NBG,,35
245,Pittsfield,True,False,iron,0,3,3,PASS,NBG,,35
246,Burlington,True,False,timber,1,3,3,PASS,NBG,,35
247,Concord,True,False,timber,1,4,4,PASS,NBG,,35
248,Lewiston,True,False,timber,2,4,4,PASS,VIN,,35
249,Bangor,True,False,timber,3,3,3,PASS,VIN,,35
250,Caribou,True,False,grain,3,3,3,PASS,VIN,,35
251,Nuuk,True,False,fish,-1,-1,-1,ISLAND,SCA,,10
252,Iceland,True,False,fish,-1,-1,-1,ISLAND,SCA,,32
253,Faroe Islands,True,False,fish,-1,-1,-1,ISLAND,SCA,,30
254,Belfast,True,False,cattle,4,1,4,PASS,IRE,,35
255,Londonderry,True,False,cattle,3,2,3,PASS,IRE,,35
256,Armagh,True,False,cattle,3,2,3,PASS,IRE,,35
257,Donegal,True,False,cattle,3,3,3,PASS,IRE,,35
258,Galway,True,False,cattle,1,4,4,PASS,IRE,,35
259,Sligo,True,False,cattle,2,3,3,PASS,IRE,,35
260,Cork,True,False,iron,0,5,5,PASS,IRE,,35
261,Limerick,True,False,iron,0,5,5,PASS,IRE,,35
262,Waterford,True,False,fish,1,4,4,PASS,IRE,,35
263,Dublin,True,False,grain,3,3,3,PASS,IRE,,35
264,Kildare,True,False,cattle,2,3,3,PASS,IRE,,35
265,Wexford,True,False,fish,2,4,4,PASS,IRE,,35
266,Aberdeen,True,False,iron,0,2,2,PASS,SCA,,35
267,Inverness,True,False,sulphur,1,1,1,PASS,SCA,,35
268,Dundee,True,False,fish,1,1,1,PASS,SCA,,35
269,Edinburgh,True,False,coal,3,0,3,PASS,SCA,,35
270,Stirling,True,False,coal,2,0,2,PASS,SCA,,35
271,Glasgow,True,False,coal,3,0,3,PASS,SCA,,35
272,Dumfries,True,False,coal,3,0,3,PASS,SCA,,35
273,Cardiff,True,False,coal,1,0,1,PASS,DUA,,35
274,Cardigan,True,False,iron,0,1,1,PASS,DUA,,35
275,Llandrindod,True,False,sulphur,1,1,1,PASS,DUA,,35
276,Holyhead,True,False,fish,1,2,2,PASS,DUA,,35
277,Liverpool,True,False,fish,2,1,2,PASS,DUA,,40
278,Manchester,True,False,coal,2,0,2,PASS,DUA,,40
279,Carlisle,True,False,grain,3,1,3,PASS,DUA,,35
280,Newcastle On Tyne,True,False,coal,2,0,2,PASS,DUA,,35
281,Hull,True,False,coal,1,0,1,PASS,DUA,,35
282,Leeds,True,False,coal,2,0,2,PASS,DUA,,35
283,Sheffield,True,False,coal,2,0,2,PASS,DUA,,35
284,Birmingham,True,False,coal,1,0,1,PASS,DUA,,35
285,Chester,True,False,fish,1,1,1,PASS,DUA,,35
286,Shrewesbury,True,False,iron,0,1,1,PASS,DUA,,35
287,Coventry,True,False,grain,1,1,1,PASS,DUA,,35
288,Nottingham,True,False,coal,1,0,1,PASS,DUA,,35
289,Leicester,True,False,grain,1,1,1,PASS,DUA,,35
290,Lincoln,True,False,iron,0,1,1,PASS,DUA,,35
291,Cambridge,True,False,grain,1,1,1,PASS,DUA,,35
292,Ipswich,True,False,grain,1,1,1,PASS,DUA,,35
293,Chelmsford,True,False,coal,2,0,2,PASS,DUA,,35
294,Oxford,True,False,grain,1,2,2,PASS,DUA,,35
295,St Albans,True,False,grain,2,1,2,PASS,DUA,,35
296,Bristol,True,False,iron,0,1,1,PASS,DUA,,35
297,Salisbury,True,False,grain,1,2,2,PASS,DUA,,35
298,Bath,True,False,grain,1,2,2,PASS,DUA,,35
299,Plymouth,True,False,fish,2,3,3,PASS,DUA,,35
300,London,True,False,grain,2,1,2,PASS,DUA,,45
301,Canterbury,True,False,coal,2,0,2,PASS,DUA,,35
302,Brighton,True,False,fish,2,1,2,PASS,DUA,,35
303,Southampton,True,False,fish,2,2,2,PASS,DUA,,35
304,Isle of Man,True,False,fish,4,1,4,PASS,DUA,,35
305,Trondheim,True,False,timber,1,4,4,PASS,SCA,,20
306,Bodo,True,False,fish,2,3,3,PASS,SCA,,20
307,Hammerfest,True,False,timber,1,2,2,PASS,SCA,,10
308,Alesund,True,False,fish,1,5,5,PASS,SCA,,20
309,Bergen,True,False,iron,0,5,5,PASS,SCA,,20
310,Christiansand,True,False,fish,1,6,6,WARN,SCA,,35
311,Skien,True,False,timber,1,6,6,WARN,SCA,,35
312,Drammen,True,False,precious_metal,1,5,5,PASS,SCA,,35
313,Christiania,True,False,fish,2,4,4,PASS,SCA,,40
314,Hamar,True,False,grain,1,3,3,PASS,SCA,,20
315,Lillehammer,True,False,timber,1,4,4,PASS,SCA,,20
316,Frederiksstad,True,False,fish,2,4,4,PASS,SCA,,35
317,Gavle,True,False,timber,1,2,2,PASS,SCA,,35
318,Sundsvall,True,False,timber,1,3,3,PASS,SCA,,35
319,Ostersund,True,False,iron,0,3,3,PASS,SCA,,20
320,Umea,True,False,timber,1,4,4,PASS,SCA,,20
321,Lulea,True,False,timber,1,3,3,PASS,SCA,,10
322,Stockholm,True,False,coal,1,0,1,PASS,SCA,,40
323,Falun,True,False,iron,0,2,2,PASS,SCA,,35
324,Uppsala,True,False,timber,1,1,1,PASS,SCA,,35
325,Norrkoping,True,False,grain,1,2,2,PASS,SCA,,35
326,Vasteras,True,False,iron,0,1,1,PASS,SCA,,35
327,Orebro,True,False,timber,1,2,2,PASS,SCA,,35
328,Karlstad,True,False,timber,1,3,3,PASS,SCA,,35
329,Gothenburg,True,False,timber,2,4,4,PASS,SCA,,35
330,Boras,True,False,fish,2,3,3,PASS,SCA,,35
331,Gotland,True,False,grain,3,4,4,PASS,SCA,,35
332,Kalmar,True,False,grain,2,3,3,PASS,SCA,,35
333,Vaxjo,True,False,timber,2,3,3,PASS,SCA,,35
334,Malmo,True,False,grain,3,4,4,PASS,SCA,,35
335,Karlskrona,True,False,fish,3,4,4,PASS,SCA,,35
336,Oulu,True,False,timber,1,3,3,PASS,SCA,,10
337,Kajaani,True,False,timber,1,3,3,PASS,SCA,,10
338,Tornio,True,False,iron,0,2,2,PASS,SCA,,10
339,Viipuri,True,False,timber,1,3,3,PASS,SCA,,35
340,Kotka,True,False,timber,2,4,4,PASS,SCA,,35
341,Mikkeli,True,False,timber,1,4,4,PASS,SCA,,35
342,Kuopio,True,False,iron,0,3,3,PASS,SCA,,35
343,Helsinki,True,False,grain,3,4,4,PASS,SCA,,35
344,Hameenlinna,True,False,timber,2,4,4,PASS,SCA,,35
345,Turku,True,False,grain,2,3,3,PASS,SCA,,35
346,Vaasa,True,False,timber,1,4,4,PASS,SCA,,35
347,Tampere,True,False,timber,2,4,4,PASS,SCA,,35
348,Aland Islands,True,False,fish,2,2,2,PASS,SCA,,35
349,Reval,True,False,grain,5,6,6,WARN,SCA,,40
350,Narva,True,False,cattle,4,5,5,PASS,SCA,,35
351,Parnu,True,False,grain,4,5,5,PASS,SCA,,35
352,Dorpat,True,False,cattle,3,4,4,PASS,SCA,,35
353,Kuressaare,True,False,grain,4,5,5,PASS,SCA,,35
354,Riga,True,False,fish,3,4,4,PASS,SCA,,40
355,Valmiera,True,False,cattle,3,4,4,PASS,SCA,,35
356,Daugavpils,True,False,grain,2,3,3,PASS,SCA,,35
357,Jelgava,True,False,cattle,2,3,3,PASS,KRL,,35
358,Ventspils,True,False,fish,3,4,4,PASS,KRL,,35
359,Liepaja,True,False,grain,4,5,5,PASS,KRL,,35
360,Vilnius,True,False,grain,1,2,2,PASS,LIT,,40
361,Kaunas,True,False,grain,2,3,3,PASS,LIT,,35
362,Marijampole,True,False,grain,2,2,2,PASS,LIT,,35
363,Panevezys,True,False,grain,2,3,3,PASS,LIT,,35
364,Siauliai,True,False,cattle,3,3,3,PASS,LIT,,35
365,Palanga,True,False,grain,4,4,4,PASS,LIT,,35
366,Aarhus,True,False,grain,2,1,2,PASS,SCA,,35
367,Aalborg,True,False,coal,2,0,2,PASS,SCA,,35
368,Ribe,True,False,iron,0,2,2,PASS,SCA,,35
369,Kiel,True,False,cattle,3,4,4,PASS,SCA,,40
370,Flensburg,True,False,cattle,2,3,3,PASS,SCA,,35
371,Abenra,True,False,cattle,1,2,2,PASS,SCA,,35
372,Copenhagen,True,False,precious_goods,3,3,3,PASS,SCA,,40
373,Odense,True,False,grain,2,2,2,PASS,SCA,,35
374,Bornholm,True,False,fish,4,5,5,PASS,SCA,,35
375,Amsterdam,True,False,cattle,4,2,4,PASS,BRG,,35
376,Rotterdam,True,False,fish,4,2,4,PASS,BRG,,35
377,Utrecht,True,False,grain,3,1,3,PASS,BRG,,35
378,Middelburg,True,False,fish,3,2,3,PASS,BRG,,35
379,Eindhoven,True,False,coal,2,0,2,PASS,BRG,,35
380,Breda,True,False,cattle,3,1,3,PASS,BRG,,35
381,Maastricht,True,False,coal,1,0,1,PASS,BRG,,35
382,Arnhem,True,False,cattle,3,1,3,PASS,BRG,,35
383,Groningen,True,False,grain,5,2,5,PASS,BRG,,35
384,Zwolle,True,False,fish,4,1,4,PASS,BRG,,35
385,Leeuwarden,True,False,cattle,5,2,5,PASS,BRG,,35
386,Assen,True,False,wool,5,2,5,PASS,BRG,,35
387,Brussels,True,False,sulphur,1,1,1,PASS,BRG,,35
388,Bruges,True,False,grain,1,1,1,PASS,BRG,,35
389,Ghent,True,False,wool,2,1,2,PASS,BRG,,35
390,Antwerp,True,False,cattle,2,1,2,PASS,BRG,,40
391,Hasselt,True,False,coal,1,0,1,PASS,BRG,,35
392,Namur,True,False,iron,0,1,1,PASS,BRG,,35
393,Tournai,True,False,coal,1,0,1,PASS,BRG,,35
394,Charleroi,True,False,coal,1,0,1,PASS,BRG,,35
395,Liege,True,False,iron,0,1,1,PASS,BRG,,35
396,Spa,True,False,coal,1,0,1,PASS,BRG,,35
397,Luxembourg,True,False,iron,0,1,1,PASS,BRG,,35
398,Arlon,True,False,timber,1,1,1,PASS,BRG,,35
399,Lille,True,False,iron,0,1,1,PASS,BRG,,31
400,Dunkirk,True,False,fish,1,1,1,PASS,BRG,,31
401,Arras,True,False,coal,1,0,1,PASS,BRG,,31
402,Amiens,True,False,fish,2,1,2,PASS,DUA,,31
403,Laon,True,False,grain,2,1,2,PASS,DUA,,31
404,Cambrai,True,False,coal,1,0,1,PASS,BRG,,31
405,Charleville,True,False,coal,1,0,1,PASS,BRG,,31
406,Troyes,True,False,timber,1,2,2,PASS,DUA,,31
407,Chaumont,True,False,iron,0,1,1,PASS,BRG,,31
408,Chalons,True,False,fruit,1,1,1,PASS,DUA,,32
409,Strasbourg,True,False,grain,2,1,2,PASS,BRG,,33
410,Colmar,True,False,sulphur,2,1,2,PASS,BRG,,31
411,Nancy,True,False,dye,1,2,2,PASS,BRG,,31
412,Metz,True,False,cattle,1,1,1,PASS,BRG,,32
413,Verdun,True,False,grain,1,1,1,PASS,BRG,,31
414,Epinal,True,False,sulphur,1,1,1,PASS,BRG,,31
415,Rouen,True,False,fish,3,2,3,PASS,DUA,,32
416,Evreux,True,False,grain,2,2,2,PASS,DUA,,32
417,Alencon,True,False,cotton,2,2,2,PASS,DUA,,31
418,Caen,True,False,cattle,3,2,3,PASS,DUA,,31
419,Channel Islands,True,False,fish,4,3,4,PASS,DUA,,35
420,Brest,True,False,grain,4,3,4,PASS,DUA,,31
421,St Brieuc,True,False,grain,4,3,4,PASS,DUA,,32
422,Vannes,True,False,fish,3,2,3,PASS,DUA,,31
423,Nantes,True,False,grain,2,1,2,PASS,DUA,,31
424,Rennes,True,False,grain,3,2,3,PASS,DUA,,33
425,Paris,True,False,grain,3,2,3,PASS,DUA,,35
426,Chartres,True,False,grain,2,2,2,PASS,DUA,,32
427,Melun,True,False,grain,2,2,2,PASS,DUA,,31
428,Dijon,True,False,fruit,1,1,1,PASS,BRG,,33
429,Auxerre,True,False,iron,0,1,1,PASS,BRG,,31
430,Moulins,True,False,coal,1,0,1,PASS,BRG,,31
431,Macon,True,False,coal,1,0,1,PASS,BRG,,31
432,Besancon,True,False,coal,1,0,1,PASS,BRG,,33
433,Lons,True,False,grain,1,1,1,PASS,BRG,,33
434,Angers,True,False,coal,1,0,1,PASS,DUA,,31
435,Laval,True,False,timber,2,1,2,PASS,DUA,,31
436,Le Mans,True,False,grain,1,1,1,PASS,DUA,,31
437,La Roche,True,False,grain,2,1,2,PASS,DUA,,32
